"X-axis","Y-axis","Link"
0.0,0.0,0
0.4,0.0,0
0.8,0.0,0
1.2,0.0,0
1.6,0.0,0
2.0,0.0,0
2.4,0.0,0
2.8,0.0,0
3.2,0.0,0
3.6,0.0,0
4.0,0.0,0
4.4,0.0,0
4.8,0.0,0
5.2,0.0,0
5.6,0.0,0
6.0,0.0,0
6.4,0.0,0
6.8,0.0,0
7.2,0.0,0
7.6,0.0,0
8.0,0.0,0
8.4,0.0,0
8.8,0.0,0
9.2,0.0,0
9.6,0.0,0
10.0,0.0,0
10.4,0.0,0
10.8,0.0,0
11.2,0.0,0
11.6,0.0,0
12.0,0.0,0
12.4,0.0,0
12.8,0.0,0
13.2,0.0,0
13.6,0.0,0
14.0,0.0,0
14.4,0.0,0
14.8,0.0,0
15.2,0.0,0
15.6,0.0,0
16.0,0.0,0
16.4,0.0,0
16.8,0.0,0
17.2,0.0,0
17.6,0.0,0
18.0,0.0,0
18.4,0.0,0
18.8,0.0,0
19.2,0.0,0
19.6,0.0,0
20.0,0.0,0
20.0,0.4,0
20.0,0.8,0
20.0,1.2,0
20.0,1.6,0
20.0,2.0,0
20.0,2.4,0
20.0,2.8,0
20.0,3.2,0
20.0,3.6,0
20.0,4.0,0
20.0,4.4,0
20.0,4.8,0
20.0,5.2,0
20.0,5.6,0
20.0,6.0,0
20.0,6.4,0
20.0,6.8,0
20.0,7.2,0
20.0,7.6,0
20.0,8.0,0
20.0,8.4,0
20.0,8.8,0
20.0,9.2,0
20.0,9.6,0
20.0,10.0,0
20.0,10.4,0
20.0,10.8,0
20.0,11.2,0
20.0,11.6,0
20.0,12.0,0
20.0,12.4,0
20.0,12.8,0
20.0,13.2,0
20.0,13.6,0
20.0,14.0,0
20.0,14.4,0
20.0,14.8,0
20.0,15.2,0
20.0,15.6,0
20.0,16.0,0
20.0,16.4,0
20.0,16.8,0
20.0,17.2,0
20.0,17.6,0
20.0,18.0,0
20.0,18.4,0
20.0,18.8,0
20.0,19.2,0
20.0,19.6,0
20.0,20.0,0
19.6,20.0,0
19.2,20.0,0
18.8,20.0,0
18.4,20.0,0
18.0,20.0,0
17.6,20.0,0
17.2,20.0,0
16.8,20.0,0
16.4,20.0,0
16.0,20.0,0
15.6,20.0,0
15.2,20.0,0
14.8,20.0,0
14.4,20.0,0
14.0,20.0,0
13.6,20.0,0
13.2,20.0,0
12.8,20.0,0
12.4,20.0,0
12.0,20.0,0
11.6,20.0,0
11.2,20.0,0
10.8,20.0,0
10.4,20.0,0
10.0,20.0,0
9.6,20.0,0
9.2,20.0,0
8.8,20.0,0
8.4,20.0,0
8.0,20.0,0
7.6,20.0,0
7.2,20.0,0
6.8,20.0,0
6.4,20.0,0
6.0,20.0,0
5.6,20.0,0
5.2,20.0,0
4.8,20.0,0
4.4,20.0,0
4.0,20.0,0
3.6,20.0,0
3.2,20.0,0
2.8,20.0,0
2.4,20.0,0
2.0,20.0,0
1.6,20.0,0
1.2,20.0,0
0.8,20.0,0
0.4,20.0,0
0.0,20.0,0
0.0,19.6,0
0.0,19.2,0
0.0,18.8,0
0.0,18.4,0
0.0,18.0,0
0.0,17.6,0
0.0,17.2,0
0.0,16.8,0
0.0,16.4,0
0.0,16.0,0
0.0,15.6,0
0.0,15.2,0
0.0,14.8,0
0.0,14.4,0
0.0,14.0,0
0.0,13.6,0
0.0,13.2,0
0.0,12.8,0
0.0,12.4,0
0.0,12.0,0
0.0,11.6,0
0.0,11.2,0
0.0,10.8,0
0.0,10.4,0
0.0,10.0,0
0.0,9.6,0
0.0,9.2,0
0.0,8.8,0
0.0,8.4,0
0.0,8.0,0
0.0,7.6,0
0.0,7.2,0
0.0,6.8,0
0.0,6.4,0
0.0,6.0,0
0.0,5.6,0
0.0,5.2,0
0.0,4.8,0
0.0,4.4,0
0.0,4.0,0
0.0,3.6,0
0.0,3.2,0
0.0,2.8,0
0.0,2.4,0
0.0,2.0,0
0.0,1.6,0
0.0,1.2,0
0.0,0.8,0
0.0,0.4,0
0.0,0.0,0

